Gene,0,18.2679,19.8511,20.4151,54.9614,52.7435,53.7153,77.7099,74.8003,70.9111,107.6414,107.6414,100.74,136.8396,136.8545,159.4854,186.1181,184.0827,206.4886,248.0167,250.8219,213.3132
Os01g0100100,6,0.75,0.75,33,20.25,31.5,0.75,11.25,15,0.75,2.25,5.25,1.5,1.5,0.75,0.75,0.75,0.75,1.5,16.5,3.75,8.25
Os07g0223400,0.137614679,0.04587156,0.055045872,1.027522936,0.467889908,0.009174312,0.183486239,0.95412844,0.009174312,0.211009174,0.100917431,0.009174312,0.009174312,0.183486239,0.009174312,0.018348624,0.009174312,0.027522936,0.027522936,0.19266055,0.009174312,0.055045872
Os01g0100400,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.75,0.375,0.375,0.375,0.375,0.375,0.375,0.75,0.375,0.375,0.375,0.375,0.375
Os06g0101600,0.75,0.75,0.75,0.75,2.25,0.75,1.5,1.5,1.5,6,0.75,0.75,0.75,0.75,0.75,0.75,1.5,0.75,0.75,1.5,1.5,0.75
Os12g0562100,0.6,0.6,1.2,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
Os01g0100700,13.25581395,9.279069767,0.209302326,14.72093023,0.418604651,0.069767442,0.069767442,0.069767442,9.697674419,0.069767442,0.069767442,0.069767442,3.209302326,0.069767442,0.209302326,0.139534884,0.209302326,0.906976744,0.139534884,0.069767442,0.069767442,0.697674419
Os01g0212100,0.192307692,0.206730769,0.471153846,0.057692308,0.004807692,0.009615385,0.014423077,0.004807692,0.014423077,0.067307692,0.298076923,0.418269231,0.211538462,0.091346154,0.076923077,0.009615385,0.043269231,0.019230769,0.192307692,0.004807692,0.024038462,0.019230769
Os01g0267200,0.056,0.824,0.096,0.072,0.168,0.008,0.072,0.008,1.64,1.224,0.024,0.008,0.008,0.128,0.008,0.024,0.064,0.016,0.008,0.008,0.008,0.032
Os01g0348600,0.01986755,1.013245033,0.913907285,2.880794702,0.476821192,0.913907285,0.01986755,0.099337748,0.198675497,0.794701987,0.456953642,0.01986755,0.01986755,0.774834437,0.218543046,0.01986755,0.079470199,0.039735099,0.456953642,0.874172185,0.01986755,0.099337748
Os01g0549700,0.018691589,0.046728972,2.009345794,0.065420561,0.140186916,3.271028037,0.046728972,0.196261682,1.336448598,1.691588785,0.056074766,0.037383178,0.009345794,1.392523364,0.018691589,0.009345794,0.093457944,0.065420561,1.607476636,0.08411215,0.009345794,0.018691589
Os01g0550000,0.010309278,0.020618557,0.329896907,0.12371134,0.041237113,1.144329897,0.113402062,0.010309278,0.010309278,0.113402062,0.030927835,0.381443299,0.010309278,1.257731959,0.020618557,0.010309278,0.412371134,0.020618557,0.06185567,0.010309278,1.556701031,0.072164948
Os01g0767700,0.497005988,0.041916168,0.023952096,0.005988024,0.011976048,0.425149701,0.005988024,0.005988024,0.005988024,0.005988024,0.005988024,0.041916168,0.017964072,0.005988024,0.54491018,0.191616766,0.754491018,0.047904192,0.724550898,0.005988024,0.005988024,0.083832335
Os01g0772800,0.025210084,0.151260504,0.025210084,0.630252101,0.025210084,0.075630252,0.025210084,0.025210084,1.56302521,0.655462185,0.529411765,0.554621849,0.756302521,0.025210084,0.025210084,0.025210084,0.075630252,0.025210084,0.025210084,0.050420168,0.025210084,0.100840336
Os01g0896620,0.011472275,0.183556405,0.005736138,0.028680688,0.005736138,0.005736138,0.005736138,0.005736138,0.217973231,0.005736138,0.005736138,0.017208413,0.005736138,0.137667304,0.005736138,0.011472275,0.005736138,0.017208413,0.005736138,0.005736138,0.005736138,0.034416826
Os01g0896800,0.007843137,0.003921569,0.003921569,0.003921569,0.003921569,0.003921569,0.007843137,0.003921569,0.003921569,0.003921569,0.003921569,0.007843137,0.003921569,0.003921569,0.003921569,0.007843137,0.003921569,0.003921569,0.003921569,0.003921569,0.003921569,0.011764706
Os02g0677800,0.383241758,0.012362637,0.506868132,0.004120879,0.004120879,0.016483516,1.03021978,0.004120879,0.012362637,0.004120879,0.024725275,0.053571429,0.288461538,0.004120879,0.004120879,0.004120879,0.354395604,0.004120879,0.04532967,0.008241758,0.131868132,0.008241758
Os02g0770000,0.1,0.033333333,0.033333333,0.066666667,0.266666667,0.033333333,0.033333333,0.266666667,0.2,0.4,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.2,0.133333333,0.033333333,1.466666667,0.166666667,0.166666667
Os03g0271400,0.029605263,0.108552632,0.029605263,0.690789474,0.009868421,0.069078947,0.009868421,0.009868421,0.069078947,0.019736842,0.009868421,1.026315789,0.009868421,0.009868421,0.009868421,0.019736842,0.088815789,0.019736842,0.019736842,0.019736842,0.019736842,0.049342105
Os03g0333100,3.284482759,0.103448276,0.025862069,0.827586207,2.146551724,0.025862069,0.025862069,0.103448276,0.051724138,0.025862069,0.853448276,0.517241379,0.051724138,0.025862069,0.025862069,0.413793103,1.137931034,0.051724138,0.051724138,0.103448276,0.051724138,0.051724138
Os03g0625300,0.287671233,0.154109589,0.606164384,0.020547945,0.04109589,0.98630137,1.982876712,0.010273973,0.010273973,0.010273973,0.010273973,0.010273973,0.020547945,0.010273973,0.010273973,0.010273973,0.051369863,0.020547945,0.339041096,0.030821918,0.226027397,0.020547945
Os03g0725000,0.037735849,0.018867925,0.018867925,0.08490566,0.056603774,0.141509434,0.009433962,0.018867925,1.066037736,1.698113208,0.009433962,0.009433962,0.009433962,0.018867925,0.028301887,0.009433962,1.358490566,0.066037736,0.018867925,0.018867925,0.075471698,0.018867925
Os03g0758800,0.056074766,1.009345794,0.014018692,1.401869159,0.070093458,0.014018692,1.023364486,0.014018692,2.186915888,1.906542056,0.014018692,0.014018692,0.140186916,0.014018692,0.014018692,0.08411215,0.070093458,0.056074766,0.098130841,0.014018692,0.056074766,0.028037383
